geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
01031,-23.544207,-46.63628100000001,sao paulo,SP
01031,-23.544207,-46.63628100000001,são paulo,SP
01127,-23.527789237426237,-46.64508608295231,sao paulo,SP
01127,-23.526879894252424,-46.6431157559005,são paulo,SP
01140,-23.525843594783307,-46.65953218067981,sao paulo,SP
01140,-23.52564861281671,-46.66180787607479,são paulo,SP
01208,-23.541414828668216,-46.64043744205929,sao paulo,SP
01208,-23.540822507357582,-46.6397147149576,são paulo,SP
01222,-23.54755400444339,-46.64948798112987,sao paulo,SP
01222,-23.54748357646144,-46.649494105603345,são paulo,SP
01229,-23.54142441825844,-46.656115905216694,sao paulo,SP
01229,-23.54127634139296,-46.65672261893353,são paulo,SP
01230,-23.541453553880487,-46.65869187785594,sao paulo,SP
01230,-23.541453553880487,-46.65869187785594,são paulo,SP
01233,-23.543490195943246,-46.66453008133753,sao paulo,SP
01233,-23.5428518237636,-46.66421638299969,são paulo,SP
01238,-23.545262137111173,-46.652460296699154,sao paulo,SP
01238,-23.545049406053415,-46.65202280737497,são paulo,SP
01258,-23.547156999163274,-46.687134582578274,sao paulo,SP
01258,-23.546833993623363,-46.68683686635128,são paulo,SP
01303,-23.551504721622702,-46.64945164585375,sao paulo,SP
01303,-23.551363330284463,-46.650372899388316,são paulo,SP
01309,-23.557908437128564,-46.65607793574357,sao paulo,SP
01309,-23.55752551354713,-46.65841257837273,são paulo,SP
01310,-23.567540129564208,-46.64900121549415,sao paulo,SP
01310,-23.567540129564208,-46.64900121549415,são paulo,SP
01418,-23.5717624232501,-46.64577331320336,sao paulo,SP
01418,-23.5717624232501,-46.64577331320336,são paulo,SP
01424,-23.578541129897815,-46.64547278711988,sao paulo,SP
01424,-23.57280365612553,-46.65653284347043,são paulo,SP
01457,-23.579034558976296,-46.69080767845811,sao paulo,SP
01457,-23.578835500692495,-46.690928203993316,são paulo,SP
01527,-23.56444336886143,-46.62725621065843,sao paulo,SP
01527,-23.563356496249096,-46.62806324562871,são paulo,SP
01532,-23.574276293092474,-46.63536992561604,sao paulo,SP
01532,-23.57418642936694,-46.6357481924808,são paulo,SP
02013,-23.503307521784315,-46.63484077990651,sao paulo,SP
02013,-23.505830161809683,-46.62372342728948,são paulo,SP
02016,-23.503337276992323,-46.62730049278664,sao paulo,SP
02016,-23.613113126839394,-46.50930754884874,são paulo,SP
02044,-23.49887716403138,-46.61887747807146,sao paulo,SP
02044,-23.497631632812002,-46.620223989035736,são paulo,SP
02111,-23.52074967860234,-46.59436701526344,sao paulo,SP
02111,-23.519989235717095,-46.593817165979715,são paulo,SP
02125,-23.511201463788957,-46.58447403038266,sao paulo,SP
02125,-23.511145452680463,-46.58541361809682,são paulo,SP
02185,-23.519147972243083,-46.568480977378954,sao paulo,SP
02185,-23.512283612268444,-46.56782303996194,são paulo,SP
02189,-23.509089785734883,-46.56690211656761,sao paulo,SP
02189,-23.507675947544566,-46.56858302164007,são paulo,SP
02215,-23.49432780544174,-46.58685439355992,sao paulo,SP
02215,-23.493698863725538,-46.586183893559934,são paulo,SP
02252,-23.480948043568617,-46.58920397460899,sao paulo,SP
02252,-23.477839999999958,-46.588239999999985,são paulo,SP
02310,-23.479066026920197,-46.60758990605341,sao paulo,SP
02310,-23.47839619178831,-46.60677490368747,são paulo,SP
02346,-23.472004872323875,-46.60844051151254,sao paulo,SP
02346,-23.472004872323875,-46.60844051151254,são paulo,SP
02403,-23.496594799298563,-46.62707195231328,sao paulo,SP
02403,-23.496087667310476,-46.62950701989079,são paulo,SP
02435,-23.48348405190717,-46.64212652622771,sao paulo,SP
02435,-23.48348405190717,-46.64212652622771,são paulo,SP
02443,-23.475667693865773,-46.64602356841136,sao paulo,SP
02443,-23.475709623925212,-46.64544514793121,são paulo,SP
02452,-23.50575639133823,-46.64060584609616,sao paulo,SP
02452,-23.50365399500834,-46.642056453517185,são paulo,SP
02469,-23.48733870330084,-46.65029488496158,sao paulo,SP
02469,-23.485698346096168,-46.64383578726409,são paulo,SP
02521,-23.506546306134226,-46.66768298987244,sao paulo,SP
02521,-23.504279237867085,-46.663444183738214,são paulo,SP
02634,-23.46136811878931,-46.65234036412957,sao paulo,SP
02634,-23.459472000000005,-46.64974404717531,são paulo,SP
02873,-23.46060747792723,-46.680723,sao paulo,SP
02873,-23.459506177073127,-46.6839960874257,são paulo,SP
02969,-23.66461845231823,-46.640205916490714,sao paulo,SP
02969,-23.481575800998332,-46.713232896474125,são paulo,SP
02975,-23.480414999999994,-46.710319971550575,sao paulo,SP
02975,-23.47850982875526,-46.71088524785043,são paulo,SP
02993,-23.457540044454664,-46.730109378218344,sao paulo,SP
02993,-23.455429891447416,-46.72898975137274,são paulo,SP
03006,-23.543614362196326,-46.623522861359604,sao paulo,SP
03006,-23.540831632812,-46.625853572854766,são paulo,SP
03052,-23.54269014876794,-46.608342662790626,sao paulo,SP
03052,-23.542484207051753,-46.60840116279062,são paulo,SP
03063,-23.535815407149936,-46.571177503750896,sao paulo,SP
03063,-23.535781356079486,-46.571028029286126,são paulo,SP
03134,-23.586076906745912,-46.58399832875526,sao paulo,SP
03134,-23.585400696585772,-46.58427399775607,são paulo,SP
03147,-23.596805022476797,-46.56597600207747,sao paulo,SP
03147,-23.59634503774025,-46.56854100721336,são paulo,SP
03168,-23.55682133305442,-46.589589303912504,sao paulo,SP
