order_id,payment_sequential,payment_type,payment_installments,payment_value
001dbc16dc51075e987543d23a0507c7,1,credit_card,1,87.9
00b4a910f64f24dbcac04fe54088a443,1,credit_card,1,2.54
00b4a910f64f24dbcac04fe54088a443,2,voucher,1,48.05
012973f4cb6743d00d7e2644ddc8804c,1,credit_card,1,33.32
016dee69b3de35a39bfccee5309307c3,1,credit_card,1,62.19
01ba72e24cf883d74c5479c0a626c740,1,boleto,1,59.12
01f216b447564f9ea791b521db577ccb,1,credit_card,2,74.49
02190241f7190a1f3c7e0df95a749c6a,1,boleto,1,521.46
021d08e4057e5b6414c8d2f69f4f72a0,1,credit_card,1,66.03
02a0eb7c22b0616c767a45954a2a28f6,1,credit_card,4,144.54
03128233e78ed8ade6738f2043f4cf8d,1,credit_card,1,72.51
032bc75236a1cbaf410bb596a509e774,1,credit_card,1,51.64
032cf17f7a713287e46999fddea6051b,1,credit_card,4,110.92
035ab6fc3b7f9d16f714a337ee63b7be,1,credit_card,1,7.91
035ab6fc3b7f9d16f714a337ee63b7be,2,voucher,1,36.83
03b218d39c422c250f389120c531b61f,1,credit_card,5,58.03
03ffce741877a000ca0fb3520673d4c4,1,credit_card,10,818.12
042e247be09aeae88a74e35766aa03ca,1,credit_card,5,153.32
04bc36cd51141e11c2cbbd188b6e47ca,1,credit_card,1,58.41
052523fd2c735b15cb107afc0a413bc2,1,credit_card,5,56.5
055eb7e5645d86bd278fc4f419622e8d,1,credit_card,3,156.08
0571cdb407bf04b419c94ffd7acbd874,1,boleto,1,22.55
058afe6c6322b4773393a66003934493,1,credit_card,4,245.29
05bfcf9e287cad216cadb8a850f8db5c,1,credit_card,8,534.98
05c7d88e9c05e1fa1428f1ff2dcc29da,1,credit_card,4,144.94
05ca3bba2e4c3bc5c601b57af96cf3cf,1,boleto,1,84.99
05cd156f0f47579a36d7a52724fc31b8,1,credit_card,1,25.51
062f0992a050330334749ffa530fa796,1,credit_card,2,147.99
063b573b88fc80e516aba87df524f809,1,credit_card,1,87.53
0675116b5556a78cf0413f70aa9f235e,1,credit_card,4,91.85
06d7e8a85f5cfef576c5303ed7d7f2e5,1,credit_card,7,72.02
06dec2690e0cd75d327646a81fdba74d,1,credit_card,3,327.9
06f5f6139b33f53defc64643f1252d53,1,credit_card,6,60.46
07d13d352c85dfbfa60dc56dea818335,1,boleto,1,32.62
08432abcf785878edf1221a0611960ea,1,boleto,1,47.18
0891b66cbcc48cf64f31ae9cae3d08d8,1,credit_card,10,317.9
08d7ec7381dc51d41a0e4d86314b7a98,1,credit_card,10,719.76
08e617c0a81895c4d5f6ab1e4a20fad0,1,boleto,1,137.96
08edff712f0cd04883215bdb5b0d7c7f,1,credit_card,1,82.08
091ac0791556275533697b36e2b00ff4,1,credit_card,1,166.29
0927a4ea2d6af04c6e8a1aecd4f9951d,1,credit_card,2,146.01
09b38400b1601bc9dea9de02c710857f,1,boleto,1,60.42
09d557bf440b6c3b40cacfbb24fd5e28,1,credit_card,7,159.18
09dd83f72b2516179cd46b81121fad23,1,boleto,1,79.99
09f58c00f941827ab206de7796785e44,1,boleto,1,17.62
0a0837a5eee9e7a9ce2b1fa831944d27,1,debit_card,1,65.5
0a1ad2c293c3baacc6b2c2d442c71acd,1,credit_card,4,44.42
0a2d541ba7c40984543d72b5eb0abcba,1,boleto,1,49.72
0a5d7e24850c68bf00d39bd62a9a45ee,1,credit_card,1,80.25
0aaf52291c13507e7fe4f565f079ad9a,1,credit_card,1,0.96
0aaf52291c13507e7fe4f565f079ad9a,2,voucher,1,62.6
0b1e73fa546894ad7310916b480de067,1,credit_card,6,419.06
0b6d11d4a289a1574e8888f2558dd548,1,credit_card,1,75.53
0bda8164c1a12b6a388ebec8559ee287,1,boleto,1,15.62
0c1f5fca68708d9a22f8a9fe30b5c588,1,credit_card,1,133.09
0c22166d9f7e5761e397affa5af438c7,1,credit_card,4,116.89
0c3a7b14aa5e70ef5991122f6bb552de,1,credit_card,10,154.66
0c5d85fbd4b20a1d9d5fc6a29e739f36,1,credit_card,1,50.8
0c7fc95baa5e16992ed412ccea7f28b3,1,boleto,1,113.17
0c8675dc2e52ab52977a76d810e45303,1,credit_card,1,107.9
0c995611a99f81268d859184a416f1db,1,credit_card,6,128.2
0ca768c507d1fc3c61bd950bb1c5231a,1,credit_card,1,112.52
0cafd6a7576a6aae0f891008a87f1546,1,credit_card,1,10.9
0cafd6a7576a6aae0f891008a87f1546,2,voucher,1,31.12
0cb316841c24af560f6af0e3fb36137a,1,credit_card,7,343.88
0d9664d8da1dc4337269071b39e19423,1,credit_card,2,267.49
0daff24b7abb3accd3e2638a0d5be0a0,1,credit_card,10,115.71
0dbfda5b69f9f25250969962f70929e9,1,credit_card,8,190.28
0e556f5eafbf3eb399290101b183b10e,1,credit_card,5,81.9
0e660617f70b9a3f6bfd3919b49450ab,1,credit_card,10,107.27
0eaa4845a6182d6b72de720fb976abd4,1,credit_card,1,367.56
0ec04706b50b8bc69a14dff0d6a26f13,1,credit_card,10,536.0
0ec61157a488963fe217233f74c52760,1,credit_card,1,45.01
0ed46f17da8a1c3bd0ed5fdfc50decc4,1,credit_card,8,82.19
0efd0bc268d34da3f01f4ff25a6d4335,1,credit_card,3,64.4
0f3827e8b786c3d934c0863c1690603d,1,credit_card,1,117.34
0f475d7e08b52d8abf7e8c6141286c27,1,credit_card,1,24.82
0f91be4a9bf9ffd2c1ace53b9e5dd9e2,1,boleto,1,485.38
0fd3cee523a106ac501c4cf18f56a4de,1,credit_card,1,96.66
10221b5ef57cb66fe37a3b1e594918d1,1,credit_card,4,229.65
102b790156f60813474ed025355a59d5,1,credit_card,1,96.54
1069874467b6a425853288c450f68fc9,1,credit_card,4,40.95
10ac3b593f06e0dd6b38a53821c1d497,1,credit_card,5,186.0
10b6352081cd9c4b594e4be0c491ee62,1,credit_card,2,103.46
10bce195e3966122a3dd0e2aa676f761,1,credit_card,2,120.74
10d1e90a86d2be981a52b6a927c97dc5,1,credit_card,2,467.2
11837ac14fcdfb163c0b78d91be89498,1,credit_card,5,55.95
119d2d80c921d5b4806a1b19b4e8c531,1,credit_card,3,265.95
11a6ea18f3646c6e6dcbadbd0207b35d,1,credit_card,10,135.3
123e27a1a4d0b2481d8618ac3dff7d4e,1,credit_card,10,221.84
126da462f642d99483c0691ac474c783,1,credit_card,1,64.51
126da462f642d99483c0691ac474c783,2,voucher,1,83.39
12af24617f25e0c8cd411544f704f2f7,1,credit_card,6,64.22
12ca240539e7029e0328f0a410c12ad1,1,credit_card,10,297.91
1306d7999cdd320272eeea20f5768b77,1,credit_card,1,41.68
138630e7e14855ce216a9db0cdabbe06,1,credit_card,1,145.01
13a4e0efe42392b2ee22601883f47d24,1,boleto,1,303.42
13f68da1f137146006b4c0c34b6824e8,1,credit_card,10,741.18
142c8688b5b13e21ac5a448a1688b9d7,1,credit_card,12,327.5
143f8e1be12f4d99301cec6f0d7a3834,1,credit_card,1,70.93
1460b7b8fd63551dc68bfdffdc31edec,1,credit_card,4,103.91
146bfe4003096bc16316672e59c6fb2e,1,credit_card,1,65.89
1489856fc5e3169af6b06edbc1aeb1b1,1,credit_card,8,387.9
14b01335f19b97fce1437168032ae388,1,credit_card,3,162.39
157ec3dc3f38cdbd2706bd216edfe8fb,1,credit_card,1,175.28
15b1aceab346b46189a6eea3b6f4b951,1,credit_card,6,357.74
1612081119e8f23745698ad3367cc14b,1,credit_card,5,117.48
164bcbb466afa4e7b9eec1760f0d7096,1,credit_card,1,86.02
16976f8e43d0c9ee6079e3ed9eaa4fed,1,credit_card,4,62.7
16fe5fdb7f5aa0c9e841387dfec29821,1,credit_card,10,195.7
171398a0cd843c65ac78aee9e05a1f49,1,credit_card,5,378.61
17f70d10c2acd50864b5dae4885894b5,1,credit_card,3,45.49
17fed53ba6dfef9b594ee2268642e2aa,1,boleto,1,18.62
18dad78c0f87f4c45ef196daeaa3ffbb,1,credit_card,1,58.41
19512a70f62306416782f963d55c8b26,1,credit_card,7,782.34
195416246665b8268100ef5fde9722b4,1,credit_card,1,150.89
1962f977f7b7b5eb73a3c2c39bbc93b5,1,boleto,1,32.62
1970f2fb4b83ff962a75b064abc37f4c,1,boleto,1,653.39
19feb5627c41ea1b36a8e50a469b3644,1,credit_card,9,212.32
1a2b0033f0b7a3116f00594ec5524344,1,credit_card,3,87.57
1a47da1d66c70489c8e35fe2b5433ab7,1,credit_card,5,270.75
1a4bf675df415785d3d9b3f3521988a7,1,credit_card,1,87.9
1add1aa4c6e709fd74a4eb691a9fc6bc,1,credit_card,1,74.15
1aecadf4362edaca7fa033e882076c8d,1,credit_card,3,50.74
1b122a7be89622f672bb41380a83b69f,1,credit_card,6,86.92
1b2d622f7ebb8e65f7de3e389f052540,1,credit_card,4,51.93
1b3d11cf9f92c0f7baf627ab059621f8,1,credit_card,1,16.71
1b3d11cf9f92c0f7baf627ab059621f8,2,voucher,1,200.0
1b3d11cf9f92c0f7baf627ab059621f8,3,voucher,1,200.0
1b3d11cf9f92c0f7baf627ab059621f8,4,voucher,1,200.0
1b3d11cf9f92c0f7baf627ab059621f8,5,voucher,1,50.0
1b694ef5b28d3e949a4f0ffeb2c9fcd6,1,boleto,1,18.62
1bf6db71e147c950fe9925e0be89ec4b,1,credit_card,8,82.88
1bfa3dbef549cf9ba5c5661ef1b63168,1,credit_card,3,419.06
1c47e7875c7c3bd3399467e179c5c3bf,1,boleto,1,239.64
1c4cafd25254eee31c8c9b8c141fb10a,1,credit_card,4,671.31
1c4deb98d216d2fda120204a5fcfb57d,1,credit_card,1,66.68
1cb796218c383fc54a6a4541420201d8,1,credit_card,1,139.27
1d4744e42dc6d786bbc9512601f7e49c,1,credit_card,2,77.98
1d5182e38de4f122947727324f2870be,1,boleto,1,115.29
1dd1d53c1ea5df0ef093bf150807315f,1,boleto,1,87.53
1df257323bb550a9b9bb150345c42e45,1,boleto,1,36.99
1e6025fd19451c74352d0bbf6a218bf6,1,credit_card,3,367.99
1e6377b497624e8fa908ee4a87e3687d,1,boleto,1,71.8
1e69dcdcbc094d39d6ba64248af906fb,1,credit_card,3,186.49
1e8c2b738fde51956f03f1a59bc86003,1,credit_card,4,246.09
1ebeec1bb9ce388ee2e00d401058ca8b,1,boleto,1,55.6
1ef09d75953043a71a73428e15bc2f5c,1,boleto,1,176.75
1f59665af8c7408a7c633f9541644854,1,credit_card,10,152.09
1f5d62970c5b3cfedc1b2a8d15ffe40d,1,credit_card,1,127.5
1f66f9bfd244a5383aeb00a84ad12a66,1,credit_card,6,68.39
1ff217aa612f6cd7c4255c9bfe931c8b,1,credit_card,2,44.23
200f4d883fcc701355e46b8c6035743f,1,boleto,1,169.4
205d7052a6505124d200f6fea6b423bc,1,boleto,1,18.62
20960ecf3d6ac0b19f3818f15c8e3fc5,1,credit_card,5,58.64
20de77e28f73070461781b0eb6228f6f,1,credit_card,1,32.62
2195712688ef03e20c8053de61c82493,1,credit_card,2,187.49
21aa5570514b188b031255172b1e04bd,1,credit_card,1,42.52
22266e2f8d8084cd2b5d8488164d043a,1,credit_card,2,50.02
22474d84064cd7eb4a907ba3fd8a6398,1,credit_card,4,296.78
22613579f7d11cc59c4347526fc3c79e,1,credit_card,10,398.12
2276cb38c742033aac3f4a4d67b57ab3,1,credit_card,3,105.39
22aa0b4e8c7855fd8d534a7692579a36,1,credit_card,10,751.05
22c2b8497506479028918303045751dd,1,voucher,1,21.45
230c830e0ace11bcabaf63deebbee836,1,credit_card,1,44.95
2363f4be725c1746c141cfe7e8432910,1,credit_card,3,154.29
23ad1ae9db6999293449603e1a247803,1,credit_card,5,151.49
24040647efd179bd506acacbbbabd838,1,boleto,1,137.5
2410734c3fc6d36010cf6b1b36c2974d,1,credit_card,3,157.0
24523db64c1af3f40f27cb4416fa5ea6,1,credit_card,3,147.08
2457f30493cdc677ad02b57dd6d17285,1,credit_card,2,200.45
24e1c731364b64c76d98e985bfdbef77,1,credit_card,10,175.85
250d181fa1c603024562b93a8f8d5fe0,1,credit_card,4,303.72
2511cdf205337513507a1863f0098d39,1,voucher,1,107.58
255d951095fc26f86cc7a08b822b714a,1,credit_card,7,782.74
25f680bf746bec3df11d48318ff015de,1,voucher,1,43.43
25f680bf746bec3df11d48318ff015de,2,voucher,1,12.19
262118ce178bb3e4590a3adcf6d62e6b,1,credit_card,5,126.12
2631dba338efbcea9c3ace77ce210c01,1,credit_card,1,594.46
26c18b7ca7a6a870496dafd3633b3412,1,credit_card,1,97.2
26fb6c984069988017b2d12b79849865,1,credit_card,2,33.36
270d816a580cef9525ac73d6c4b87255,1,boleto,1,338.46
27c7c6aa7b6f3de99d2a3a64674d296f,1,credit_card,5,123.2
281a4e1ef3ab9d256027ddd2db90c762,1,credit_card,8,467.99
2825848807f070485f0f0ef3829758f4,1,credit_card,2,22.86
2867faaa7a912bbc2bf8d8e40d7a0354,1,credit_card,1,138.35
28f5847427849401fb017537fd20da41,1,credit_card,4,41.93
29d99fdabd0cb6b4e9d82f2f38c04a5a,1,credit_card,3,113.86
2a3d1cc4337b1cc9157560f6b1ca5802,1,credit_card,4,41.7
2a3d67c0d2045bf67abb3d8f320ac29f,1,credit_card,6,93.84
2b98d5c9b1969095e65f74308ae2e861,1,credit_card,6,195.53
2bcf5ca88957e31faab027f2325cfd63,1,boleto,1,59.96
2c45c33d2f9cb8ff8b1c86cc28c11c30,1,credit_card,3,153.51
2c4ada2e75c2ad41dd93cebb5df5f023,1,credit_card,1,209.06
2ce9683175cdab7d1c95bcbb3e36f478,1,boleto,1,73.04
2d9e3c3c7f0f3ba8a8fa3db2f1211ceb,1,credit_card,5,676.92
2e22dc2fce65e5b9d73a11d717f41724,1,credit_card,3,81.63
2e2e88c4bb691287b71a9e1ee8a193a4,1,credit_card,5,399.72
