product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
00be617b58175bf207fd35910d5097a4,cama_mesa_banho,52,396,1,900,45,15,35
027cdd14a677a5834bc67a9789db5021,perfumaria,42,544,1,341,20,18,16
036bcd084feae22f3a997f5080ec30df,moveis_quarto,61,1961,1,200,16,2,11
04df667e73ca2fab4b9a97c86466b699,relogios_presentes,34,541,1,404,22,14,17
0534940d69bf94dc61c0e722b4168235,moveis_decoracao,32,337,1,2300,45,25,20
05fca08b4d54ab5d1d371db7d5534136,informatica_acessorios,47,1009,4,300,20,6,13
062619359d5f9a664606cb2a6ccb477a,beleza_saude,64,1394,1,2000,20,20,20
06e73ddcb54620a36bfdb2e073c4dc40,fashion_bolsas_e_acessorios,48,357,5,150,16,9,11
06ead9c0b05b368667d858c09148af03,consoles_games,41,235,1,467,23,11,18
07c055536ebf10dfbb6c6db6dbfc36e5,moveis_decoracao,59,473,1,600,30,3,20
0980718a7bdcf89f5848b202b6394965,beleza_saude,56,627,1,2000,37,30,24
09b590ada623ecf66329917ea4731957,relogios_presentes,44,1396,2,214,17,11,13
0ab80f38a21093b448518f68efe82c24,utilidades_domesticas,63,245,3,200,16,4,11
0b230f10ac2cfc4c831b825bf31a5de2,pet_shop,63,1440,3,1500,50,20,40
0bfd2b8146cd034448f6e4c8ac8e47f0,informatica_acessorios,44,800,1,1100,31,12,11
0c5801458e74f9b6c23b44c331426e30,cool_stuff,56,1383,6,1850,18,23,26
0d1d766e7cdd4a724e9ea9a18e5177bb,telefonia,49,1948,2,700,23,6,15
0dcbc0d012d42719216ea7dff6b90a6f,brinquedos,53,1047,5,1700,28,50,24
0e92dcf7b03df1de4e9349af065f8e63,moveis_decoracao,47,372,1,400,37,15,27
0ec63d4c614fff936b02b10d242bf955,moveis_decoracao,59,457,3,1350,45,15,35
0ee7a6e1cd4ecf72e711a2f68b4d8d2e,informatica_acessorios,42,796,1,1000,31,12,11
0f3777229e40207d248acfd6e1f716b6,esporte_lazer,64,640,2,30000,42,105,47
0f3c8906e5b08127d539956bc587074c,esporte_lazer,27,293,4,3325,71,14,71
0fc6914383c2bea767a9562c9d8b43a1,informatica_acessorios,52,644,4,338,32,6,36
107177bf61755f05c604fe57e02467d6,moveis_decoracao,55,130,1,2050,40,11,34
1097d069f21f90425a11bb3293ca1d87,moveis_decoracao,63,682,8,1700,43,36,25
10dd77710da08ea43018cb3b4cedff92,esporte_lazer,58,1185,3,400,27,10,28
112dad9870ca76046f327b9c08f00b29,brinquedos,40,1493,1,700,31,5,25
1178e5819b87e4a8846d636e39df026b,automotivo,62,418,6,400,16,7,12
12715d8bb61f9c2c26219377d9737584,eletronicos,53,1996,3,373,21,11,17
1412c0124f6acb78a0a1023ea5e82c88,perfumaria,46,409,2,500,37,23,24
1514ddb0f4a5afc8d24104e89c714403,pet_shop,54,282,1,200,16,2,11
152153cc85a6e47325494a479a93fc4b,telefonia,31,269,11,200,16,3,11
15b3d4c8373cd64166af5504b49d289d,moveis_decoracao,60,856,1,1400,43,5,30
17469cd3d2559b93669a813860296b8e,brinquedos,60,1212,4,1200,28,13,21
17c7ec33a1657924ad493e6978b4bf91,bebes,31,594,6,950,22,20,28
1949890685a12526806e9463ba1a3964,fashion_bolsas_e_acessorios,47,1182,4,100,16,16,16
1a2d84c11fbc7b3d7c0a10206c085ce5,telefonia_fixa,44,333,3,100,16,4,11
1c1baeabe25824c8c22b511643852906,beleza_saude,52,577,1,457,19,12,16
1d9c26a3cc1a9a167955e3922b597210,perfumaria,60,1038,1,200,21,7,13
1da5a90b5fbd1e1bc37b7bbb999c7bd3,moveis_decoracao,45,606,3,1000,29,13,13
1db2dfac4f8c0a4499f94838b3ee0628,moveis_decoracao,63,390,1,900,45,15,35
1dc6a19ea34c75792743abebd47309d3,brinquedos,56,797,3,1850,36,36,37
1dcff375b928a1807562ea4a895a8046,moveis_decoracao,50,754,3,1100,30,11,11
1e571e871a93944c5c48e6226f2cd94e,beleza_saude,63,2652,1,400,20,20,20
1e9f407b0d5f8f439956c66df050c107,eletroportateis,46,603,1,450,20,20,25
1f1354b0aa934e7ad75546467a6d028b,moveis_decoracao,47,372,1,400,37,15,27
20090bcd0d43eb49feb63d53d387780b,cool_stuff,63,2597,10,300,17,17,20
201ec8e4fb8456dd06265be68eb419a7,moveis_decoracao,52,1743,2,800,68,8,13
20e37962088a4061d3578def47a8648b,moveis_decoracao,60,208,1,800,40,10,34
21fb5057dd6a737df6851a7ab7a130da,moveis_decoracao,52,709,2,7550,35,35,35
21fd3b391a97c2fedab9d0efdd183a93,utilidades_domesticas,57,983,2,2650,53,15,13
2235d08138bfce7801a73463a3168ea5,esporte_lazer,63,923,3,1200,70,8,15
2504bf725d7aa06820b73b85c5ca6653,utilidades_domesticas,44,250,2,1500,32,5,28
25287671dbfca39d8aecdd754c28b269,beleza_saude,58,1402,2,1600,16,10,14
2636a9812d151c718b53387171ce08be,beleza_saude,52,2088,1,443,21,13,17
269e87010f6d5e57015a90b00983e334,informatica_acessorios,63,167,2,250,22,2,14
27051f70cfcbd63fec388f34e1f0d2a2,climatizacao,46,293,1,5524,42,37,28
27066995b777fb84dbcb25961fd6d007,brinquedos,44,619,2,700,16,21,28
2797d3826d386bfda4f347a378b89f4d,pet_shop,36,142,1,200,16,2,11
2929be0cb603321a26091c3f376d52df,moveis_decoracao,35,272,2,450,16,26,14
29bedbfbe73ea473396306b4f0c010ec,utilidades_domesticas,47,187,1,7600,55,33,40
2a763f02c6a7a8ab7c1be0460ff891d0,moveis_decoracao,53,575,1,2500,35,9,25
2aa489c905e1d41d8c716a6d6912d8c2,perfumaria,35,776,1,635,20,17,17
2b50a33b93e3b489f648b9166a62e13d,moveis_decoracao,63,199,6,1100,31,11,26
2b5bed5ddd304876b5d0c3eca2b6cbce,moveis_decoracao,53,553,1,1400,35,9,25
2c41d13dc2cf0e9c2e8db8952f0f3ff3,informatica_acessorios,45,802,1,1100,31,12,11
2c818013dbc95f5cd2d6a393a31813e0,moveis_decoracao,63,233,11,1500,42,14,32
2d78dc9b1f4a5d1ceb28287b82d85b86,moveis_decoracao,56,296,3,1150,100,7,12
2ef9d434efcd0544c16be36a03c7652a,perfumaria,39,525,2,418,19,14,16
30469bb5ea377eae7121981e2f0778e4,esporte_lazer,57,574,4,5950,20,30,80
33430c5c1027d812b5c62f778e5ee7f7,consoles_games,41,309,1,200,21,21,21
33e0cfd1cd80a0491da068d7a7f93ff8,cama_mesa_banho,44,501,1,2400,30,30,30
33ec1056063990a554e2e2cd85219de5,cama_mesa_banho,60,624,2,400,57,4,28
33fac76e7f17367dedaef7954bbb33b4,beleza_saude,63,1113,2,550,20,20,20
3410cbd7df2130ec3cb9300ef0fe3df1,informatica_acessorios,34,324,1,675,21,13,16
34239894e175b17d8c84edc6c73b4dad,bebes,35,221,5,400,29,12,23
35084deab9603bbb6035bb8638b1df89,moveis_decoracao,49,100,1,1200,25,25,20
35bd74b6319ba18ae4f30d8b54144fd2,bebes,63,60,1,200,30,20,30
36696562bef043d7e07305d62baf5ca7,moveis_decoracao,63,199,6,3800,42,16,26
368343a35b2e888dae4f3f831d22437a,relogios_presentes,42,748,2,300,16,13,13
382d28bfa85a9857cd10bfdb1b8b7f80,moveis_decoracao,26,190,1,3300,23,16,23
3889a02f55ae9a5e5e321c4a4d2eee64,moveis_decoracao,60,448,5,16300,30,30,30
389d38a555287ebf3413ce43392cf007,telefonia_fixa,40,945,1,400,16,2,11
39731b928af43b0f49dd60d4706e403f,beleza_saude,50,431,4,20100,90,60,20
39e96bf755a2107369e9e9654476d831,moveis_decoracao,57,470,1,2200,50,20,40
3a70556370b28da113dfdd18d2da5413,moveis_decoracao,53,617,2,633,45,4,35
3ae08df6bcbfe23586dd431c40bddbb7,relogios_presentes,63,1642,3,300,16,16,16
3c37a8a5d5ef2eca9d5e6ccf39673031,bebes,28,260,3,1836,33,28,20
3c980d4656c6379e6dfd704a2cc48a88,bebes,41,1098,2,1167,30,25,26
3cacd5299c846cb08ae1e445fd78392b,beleza_saude,35,469,2,350,21,14,17
3cdff94d5455b793b415be775cace03c,beleza_saude,54,340,1,250,16,16,15
3d37da85f5e66558333fb5daee494736,beleza_saude,59,1828,1,1400,20,20,20
3e8a0f0a4389aa563b110eab167d99d4,bebes,60,1212,4,1400,28,13,21
3ff81cd0e0861e991bb0106c03c113ca,brinquedos,63,2314,8,600,21,14,21
407e01944d78001dbd21da4c2059b8dc,telefonia,51,1570,1,300,16,4,11
424471a68d6b1ae4a53d39723e6981d3,eletroportateis,49,1274,7,3767,34,36,28
42d2add84cc80443a8128adc87b6a958,perfumaria,33,1458,2,467,19,10,14
43bb8825dd6838251606e5e4130cfff4,moveis_decoracao,33,259,2,1500,65,15,15
441571d37eb4c02c1686c4a2cff8a8e5,bebes,60,1797,5,850,68,8,13
44377a26f7c80dbf0a9b2b300604e6bf,beleza_saude,45,1634,1,1400,20,20,20
4632bc49b300378ed4f1d48f424d414e,automotivo,33,513,2,795,30,15,26
46d66b9ad911a2cea5e3c9127aa7fac5,climatizacao,50,295,2,3342,39,26,21
473795a355d29305c3ea6b156833adf5,perfumaria,36,605,2,100,20,20,20
48a12f318432c4b6a1fdfd5d79372e66,cama_mesa_banho,54,584,1,1200,33,8,23
49e142d8098b20ff2dc9ec73cdd5afec,brinquedos,42,844,1,150,28,13,22
4a90b44b456e79e7a33435fdd36e551f,ferramentas_jardim,64,2432,4,10700,32,63,32
4a92216ec92c54fca6f132ae1988390d,brinquedos,36,355,3,900,30,35,40
4af813a3e5bc89370ef80fe126542076,brinquedos,43,1433,5,10450,35,45,70
4b88b15eb9d5ad74ffa095bcd4ddb64f,market_place,43,919,4,7500,24,38,23
4c72e6d081c8a1b5430351d015eb86ba,moveis_decoracao,48,183,4,2000,35,15,25
4c7d4a2efde21e3bf1660926fabc6a9d,beleza_saude,60,316,3,250,18,10,15
