order_item_id,order_id,product_id,quantity,unit_price,unit_cost,gross_revenue,discount_amount,cost_amount
ORD-000001-01,ORD-000001,PROD-0004,2,99.9,43.0,199.8,0.0,86.0
ORD-000001-02,ORD-000001,PROD-0002,1,149.9,72.0,149.9,0.0,72.0
ORD-000001-03,ORD-000001,PROD-0006,2,189.9,91.0,379.8,0.0,182.0
ORD-000001-04,ORD-000001,PROD-0009,3,44.9,17.0,134.7,0.0,51.0
ORD-000002-01,ORD-000002,PROD-0006,1,189.9,91.0,189.9,0.0,91.0
ORD-000002-02,ORD-000002,PROD-0012,1,259.9,137.0,259.9,0.0,137.0
ORD-000002-03,ORD-000002,PROD-0001,3,59.9,24.5,179.7,0.0,73.5
ORD-000003-01,ORD-000003,PROD-0005,3,349.9,221.0,1049.7,52.48,663.0
ORD-000003-02,ORD-000003,PROD-0006,1,189.9,91.0,189.9,9.5,91.0
ORD-000003-03,ORD-000003,PROD-0010,1,219.9,93.0,219.9,11.0,93.0
ORD-000004-01,ORD-000004,PROD-0004,2,99.9,43.0,199.8,19.98,86.0
ORD-000004-02,ORD-000004,PROD-0009,2,44.9,17.0,89.8,8.98,34.0
ORD-000004-03,ORD-000004,PROD-0002,1,149.9,72.0,149.9,14.99,72.0
ORD-000005-01,ORD-000005,PROD-0001,1,59.9,24.5,59.9,3.0,24.5
ORD-000006-01,ORD-000006,PROD-0009,3,44.9,17.0,134.7,6.73,51.0
ORD-000006-02,ORD-000006,PROD-0004,2,99.9,43.0,199.8,9.99,86.0
ORD-000006-03,ORD-000006,PROD-0012,1,259.9,137.0,259.9,12.99,137.0
ORD-000006-04,ORD-000006,PROD-0010,2,219.9,93.0,439.8,21.99,186.0
ORD-000007-01,ORD-000007,PROD-0005,2,349.9,221.0,699.8,69.98,442.0
ORD-000007-02,ORD-000007,PROD-0002,1,149.9,72.0,149.9,14.99,72.0
ORD-000007-03,ORD-000007,PROD-0007,3,279.9,154.0,839.7,83.97,462.0
ORD-000007-04,ORD-000007,PROD-0001,2,59.9,24.5,119.8,11.98,49.0
ORD-000008-01,ORD-000008,PROD-0012,2,259.9,137.0,519.8,0.0,274.0
ORD-000008-02,ORD-000008,PROD-0006,1,189.9,91.0,189.9,0.0,91.0
ORD-000008-03,ORD-000008,PROD-0004,1,99.9,43.0,99.9,0.0,43.0
ORD-000009-01,ORD-000009,PROD-0005,1,349.9,221.0,349.9,0.0,221.0
ORD-000009-02,ORD-000009,PROD-0004,3,99.9,43.0,299.7,0.0,129.0
ORD-000010-01,ORD-000010,PROD-0011,2,179.9,82.0,359.8,53.97,164.0
ORD-000010-02,ORD-000010,PROD-0006,1,189.9,91.0,189.9,28.48,91.0
ORD-000010-03,ORD-000010,PROD-0003,2,229.9,118.0,459.8,68.97,236.0
ORD-000011-01,ORD-000011,PROD-0005,3,349.9,221.0,1049.7,52.48,663.0
ORD-000011-02,ORD-000011,PROD-0002,3,149.9,72.0,449.7,22.49,216.0
ORD-000011-03,ORD-000011,PROD-0011,3,179.9,82.0,539.7,26.99,246.0
ORD-000012-01,ORD-000012,PROD-0001,1,59.9,24.5,59.9,5.99,24.5
ORD-000012-02,ORD-000012,PROD-0008,2,399.9,238.0,799.8,79.98,476.0
ORD-000013-01,ORD-000013,PROD-0006,2,189.9,91.0,379.8,37.98,182.0
ORD-000013-02,ORD-000013,PROD-0005,2,349.9,221.0,699.8,69.98,442.0
ORD-000013-03,ORD-000013,PROD-0007,3,279.9,154.0,839.7,83.97,462.0
ORD-000014-01,ORD-000014,PROD-0006,3,189.9,91.0,569.7,28.49,273.0
ORD-000014-02,ORD-000014,PROD-0002,3,149.9,72.0,449.7,22.49,216.0
ORD-000015-01,ORD-000015,PROD-0003,1,229.9,118.0,229.9,11.5,118.0
ORD-000015-02,ORD-000015,PROD-0011,3,179.9,82.0,539.7,26.99,246.0
ORD-000015-03,ORD-000015,PROD-0009,3,44.9,17.0,134.7,6.73,51.0
ORD-000016-01,ORD-000016,PROD-0003,2,229.9,118.0,459.8,22.99,236.0
ORD-000016-02,ORD-000016,PROD-0002,1,149.9,72.0,149.9,7.5,72.0
ORD-000017-01,ORD-000017,PROD-0003,1,229.9,118.0,229.9,22.99,118.0
ORD-000017-02,ORD-000017,PROD-0010,3,219.9,93.0,659.7,65.97,279.0
ORD-000018-01,ORD-000018,PROD-0005,1,349.9,221.0,349.9,17.5,221.0
ORD-000018-02,ORD-000018,PROD-0008,2,399.9,238.0,799.8,39.99,476.0
ORD-000019-01,ORD-000019,PROD-0005,3,349.9,221.0,1049.7,0.0,663.0
ORD-000019-02,ORD-000019,PROD-0001,2,59.9,24.5,119.8,0.0,49.0
ORD-000020-01,ORD-000020,PROD-0007,1,279.9,154.0,279.9,13.99,154.0
ORD-000020-02,ORD-000020,PROD-0002,2,149.9,72.0,299.8,14.99,144.0
ORD-000021-01,ORD-000021,PROD-0002,1,149.9,72.0,149.9,0.0,72.0
ORD-000021-02,ORD-000021,PROD-0011,1,179.9,82.0,179.9,0.0,82.0
ORD-000021-03,ORD-000021,PROD-0006,1,189.9,91.0,189.9,0.0,91.0
ORD-000022-01,ORD-000022,PROD-0009,3,44.9,17.0,134.7,0.0,51.0
ORD-000022-02,ORD-000022,PROD-0010,2,219.9,93.0,439.8,0.0,186.0
ORD-000023-01,ORD-000023,PROD-0010,3,219.9,93.0,659.7,32.99,279.0
ORD-000023-02,ORD-000023,PROD-0009,1,44.9,17.0,44.9,2.25,17.0
ORD-000023-03,ORD-000023,PROD-0001,3,59.9,24.5,179.7,8.98,73.5
ORD-000023-04,ORD-000023,PROD-0011,1,179.9,82.0,179.9,9.0,82.0
ORD-000024-01,ORD-000024,PROD-0002,3,149.9,72.0,449.7,67.45,216.0
ORD-000024-02,ORD-000024,PROD-0009,3,44.9,17.0,134.7,20.2,51.0
ORD-000024-03,ORD-000024,PROD-0011,3,179.9,82.0,539.7,80.95,246.0
ORD-000025-01,ORD-000025,PROD-0010,3,219.9,93.0,659.7,0.0,279.0
ORD-000026-01,ORD-000026,PROD-0011,3,179.9,82.0,539.7,26.99,246.0
ORD-000026-02,ORD-000026,PROD-0003,2,229.9,118.0,459.8,22.99,236.0
ORD-000026-03,ORD-000026,PROD-0012,1,259.9,137.0,259.9,12.99,137.0
ORD-000026-04,ORD-000026,PROD-0002,2,149.9,72.0,299.8,14.99,144.0
ORD-000027-01,ORD-000027,PROD-0005,1,349.9,221.0,349.9,17.5,221.0
ORD-000027-02,ORD-000027,PROD-0006,3,189.9,91.0,569.7,28.49,273.0
ORD-000028-01,ORD-000028,PROD-0012,2,259.9,137.0,519.8,0.0,274.0
ORD-000028-02,ORD-000028,PROD-0008,1,399.9,238.0,399.9,0.0,238.0
ORD-000028-03,ORD-000028,PROD-0006,3,189.9,91.0,569.7,0.0,273.0
ORD-000028-04,ORD-000028,PROD-0009,2,44.9,17.0,89.8,0.0,34.0
ORD-000029-01,ORD-000029,PROD-0003,1,229.9,118.0,229.9,0.0,118.0
ORD-000029-02,ORD-000029,PROD-0008,3,399.9,238.0,1199.7,0.0,714.0
ORD-000029-03,ORD-000029,PROD-0006,2,189.9,91.0,379.8,0.0,182.0
ORD-000029-04,ORD-000029,PROD-0011,3,179.9,82.0,539.7,0.0,246.0
ORD-000030-01,ORD-000030,PROD-0003,3,229.9,118.0,689.7,103.45,354.0
ORD-000031-01,ORD-000031,PROD-0010,1,219.9,93.0,219.9,0.0,93.0
ORD-000032-01,ORD-000032,PROD-0004,3,99.9,43.0,299.7,0.0,129.0
ORD-000032-02,ORD-000032,PROD-0002,1,149.9,72.0,149.9,0.0,72.0
ORD-000032-03,ORD-000032,PROD-0001,2,59.9,24.5,119.8,0.0,49.0
ORD-000033-01,ORD-000033,PROD-0004,2,99.9,43.0,199.8,19.98,86.0
ORD-000033-02,ORD-000033,PROD-0002,1,149.9,72.0,149.9,14.99,72.0
ORD-000033-03,ORD-000033,PROD-0003,3,229.9,118.0,689.7,68.97,354.0
ORD-000033-04,ORD-000033,PROD-0011,2,179.9,82.0,359.8,35.98,164.0
ORD-000034-01,ORD-000034,PROD-0006,1,189.9,91.0,189.9,0.0,91.0
ORD-000034-02,ORD-000034,PROD-0009,1,44.9,17.0,44.9,0.0,17.0
ORD-000035-01,ORD-000035,PROD-0002,2,149.9,72.0,299.8,29.98,144.0
ORD-000036-01,ORD-000036,PROD-0008,1,399.9,238.0,399.9,0.0,238.0
ORD-000036-02,ORD-000036,PROD-0011,3,179.9,82.0,539.7,0.0,246.0
ORD-000036-03,ORD-000036,PROD-0009,3,44.9,17.0,134.7,0.0,51.0
ORD-000036-04,ORD-000036,PROD-0006,3,189.9,91.0,569.7,0.0,273.0
ORD-000037-01,ORD-000037,PROD-0006,2,189.9,91.0,379.8,0.0,182.0
ORD-000037-02,ORD-000037,PROD-0009,1,44.9,17.0,44.9,0.0,17.0
ORD-000038-01,ORD-000038,PROD-0010,1,219.9,93.0,219.9,0.0,93.0
ORD-000038-02,ORD-000038,PROD-0012,1,259.9,137.0,259.9,0.0,137.0
ORD-000039-01,ORD-000039,PROD-0011,2,179.9,82.0,359.8,0.0,164.0
ORD-000039-02,ORD-000039,PROD-0004,3,99.9,43.0,299.7,0.0,129.0
ORD-000039-03,ORD-000039,PROD-0010,3,219.9,93.0,659.7,0.0,279.0
ORD-000040-01,ORD-000040,PROD-0012,1,259.9,137.0,259.9,12.99,137.0
ORD-000041-01,ORD-000041,PROD-0007,3,279.9,154.0,839.7,125.95,462.0
ORD-000041-02,ORD-000041,PROD-0003,3,229.9,118.0,689.7,103.45,354.0
ORD-000041-03,ORD-000041,PROD-0006,1,189.9,91.0,189.9,28.48,91.0
ORD-000042-01,ORD-000042,PROD-0004,1,99.9,43.0,99.9,0.0,43.0
ORD-000042-02,ORD-000042,PROD-0003,1,229.9,118.0,229.9,0.0,118.0
ORD-000042-03,ORD-000042,PROD-0006,2,189.9,91.0,379.8,0.0,182.0
ORD-000042-04,ORD-000042,PROD-0010,3,219.9,93.0,659.7,0.0,279.0
ORD-000043-01,ORD-000043,PROD-0001,2,59.9,24.5,119.8,0.0,49.0
ORD-000044-01,ORD-000044,PROD-0006,3,189.9,91.0,569.7,0.0,273.0
ORD-000044-02,ORD-000044,PROD-0001,3,59.9,24.5,179.7,0.0,73.5
ORD-000044-03,ORD-000044,PROD-0007,1,279.9,154.0,279.9,0.0,154.0
ORD-000044-04,ORD-000044,PROD-0011,2,179.9,82.0,359.8,0.0,164.0
ORD-000045-01,ORD-000045,PROD-0002,2,149.9,72.0,299.8,44.97,144.0
ORD-000045-02,ORD-000045,PROD-0007,2,279.9,154.0,559.8,83.97,308.0
ORD-000046-01,ORD-000046,PROD-0008,1,399.9,238.0,399.9,0.0,238.0
ORD-000046-02,ORD-000046,PROD-0009,3,44.9,17.0,134.7,0.0,51.0
ORD-000046-03,ORD-000046,PROD-0012,3,259.9,137.0,779.7,0.0,411.0
ORD-000047-01,ORD-000047,PROD-0012,1,259.9,137.0,259.9,25.99,137.0
ORD-000047-02,ORD-000047,PROD-0010,2,219.9,93.0,439.8,43.98,186.0
ORD-000047-03,ORD-000047,PROD-0005,2,349.9,221.0,699.8,69.98,442.0
ORD-000047-04,ORD-000047,PROD-0008,3,399.9,238.0,1199.7,119.97,714.0
ORD-000048-01,ORD-000048,PROD-0010,2,219.9,93.0,439.8,43.98,186.0
ORD-000049-01,ORD-000049,PROD-0008,2,399.9,238.0,799.8,119.97,476.0
ORD-000050-01,ORD-000050,PROD-0009,3,44.9,17.0,134.7,20.2,51.0
ORD-000050-02,ORD-000050,PROD-0004,2,99.9,43.0,199.8,29.97,86.0
ORD-000051-01,ORD-000051,PROD-0010,1,219.9,93.0,219.9,0.0,93.0
ORD-000051-02,ORD-000051,PROD-0008,2,399.9,238.0,799.8,0.0,476.0
ORD-000051-03,ORD-000051,PROD-0004,3,99.9,43.0,299.7,0.0,129.0
ORD-000052-01,ORD-000052,PROD-0005,3,349.9,221.0,1049.7,0.0,663.0
ORD-000052-02,ORD-000052,PROD-0002,3,149.9,72.0,449.7,0.0,216.0
ORD-000052-03,ORD-000052,PROD-0010,2,219.9,93.0,439.8,0.0,186.0
ORD-000053-01,ORD-000053,PROD-0004,3,99.9,43.0,299.7,44.96,129.0
ORD-000053-02,ORD-000053,PROD-0012,3,259.9,137.0,779.7,116.95,411.0
ORD-000053-03,ORD-000053,PROD-0009,2,44.9,17.0,89.8,13.47,34.0
ORD-000053-04,ORD-000053,PROD-0005,1,349.9,221.0,349.9,52.48,221.0
ORD-000054-01,ORD-000054,PROD-0002,2,149.9,72.0,299.8,0.0,144.0
ORD-000055-01,ORD-000055,PROD-0008,2,399.9,238.0,799.8,39.99,476.0
ORD-000055-02,ORD-000055,PROD-0011,2,179.9,82.0,359.8,17.99,164.0
ORD-000055-03,ORD-000055,PROD-0004,3,99.9,43.0,299.7,14.99,129.0
ORD-000055-04,ORD-000055,PROD-0005,1,349.9,221.0,349.9,17.5,221.0
ORD-000056-01,ORD-000056,PROD-0008,1,399.9,238.0,399.9,0.0,238.0
ORD-000056-02,ORD-000056,PROD-0003,2,229.9,118.0,459.8,0.0,236.0
ORD-000056-03,ORD-000056,PROD-0005,3,349.9,221.0,1049.7,0.0,663.0
ORD-000056-04,ORD-000056,PROD-0001,3,59.9,24.5,179.7,0.0,73.5
ORD-000057-01,ORD-000057,PROD-0003,3,229.9,118.0,689.7,0.0,354.0
ORD-000057-02,ORD-000057,PROD-0008,1,399.9,238.0,399.9,0.0,238.0
ORD-000057-03,ORD-000057,PROD-0005,1,349.9,221.0,349.9,0.0,221.0
ORD-000058-01,ORD-000058,PROD-0007,3,279.9,154.0,839.7,41.98,462.0
ORD-000059-01,ORD-000059,PROD-0006,3,189.9,91.0,569.7,0.0,273.0
ORD-000059-02,ORD-000059,PROD-0005,3,349.9,221.0,1049.7,0.0,663.0
ORD-000059-03,ORD-000059,PROD-0010,1,219.9,93.0,219.9,0.0,93.0
ORD-000060-01,ORD-000060,PROD-0012,2,259.9,137.0,519.8,25.99,274.0
ORD-000060-02,ORD-000060,PROD-0002,3,149.9,72.0,449.7,22.49,216.0
ORD-000060-03,ORD-000060,PROD-0005,1,349.9,221.0,349.9,17.5,221.0
ORD-000061-01,ORD-000061,PROD-0004,3,99.9,43.0,299.7,29.97,129.0
ORD-000061-02,ORD-000061,PROD-0011,1,179.9,82.0,179.9,17.99,82.0
ORD-000062-01,ORD-000062,PROD-0003,3,229.9,118.0,689.7,68.97,354.0
ORD-000062-02,ORD-000062,PROD-0006,2,189.9,91.0,379.8,37.98,182.0
