order_id,customer_id,order_datetime,channel,payment_method,status,gross_revenue,discount_amount,freight_amount,cancellation_amount,return_amount,net_revenue,cost_amount,gross_margin
ORD-000001,CUST-00080,2025-06-30 09:36:00,site,pix,cancelled,864.2,0.0,14.54,864.2,0.0,0.0,391.0,0
ORD-000002,CUST-00156,2025-12-03 19:17:00,marketplace,pix,delivered,629.5,0.0,18.1,0.0,0.0,629.5,301.5,328.0
ORD-000003,CUST-00024,2025-09-29 11:24:00,site,credit_card,delivered,1459.5,72.97,20.13,0.0,0.0,1386.53,847.0,539.53
ORD-000004,CUST-00070,2025-08-15 18:27:00,app,boleto,delivered,439.5,43.95,23.16,0.0,0.0,395.55,192.0,203.55
ORD-000005,CUST-00135,2025-12-08 12:02:00,app,credit_card,delivered,59.9,3.0,39.43,0.0,0.0,56.91,24.5,32.41
ORD-000006,CUST-00084,2025-03-03 08:31:00,marketplace,credit_card,returned,1034.2,51.71,15.17,0.0,982.49,0.0,460.0,0
ORD-000007,CUST-00236,2025-02-09 13:36:00,marketplace,pix,delivered,1809.2,180.92,22.03,0.0,0.0,1628.28,1025.0,603.28
ORD-000008,CUST-00063,2025-08-12 17:25:00,marketplace,boleto,cancelled,809.6,0.0,21.77,809.6,0.0,0.0,408.0,0
ORD-000009,CUST-00232,2025-06-28 13:46:00,site,boleto,returned,649.6,0.0,16.99,0.0,649.6,0.0,350.0,0
ORD-000010,CUST-00119,2025-10-16 20:37:00,app,boleto,delivered,1009.5,151.43,37.62,0.0,0.0,858.08,491.0,367.08
ORD-000011,CUST-00091,2025-09-17 09:19:00,app,pix,delivered,2039.1,101.95,11.03,0.0,0.0,1937.14,1125.0,812.14
ORD-000012,CUST-00116,2025-10-20 18:12:00,marketplace,credit_card,delivered,859.7,85.97,24.17,0.0,0.0,773.73,500.5,273.23
ORD-000013,CUST-00064,2025-12-29 15:28:00,marketplace,credit_card,cancelled,1919.3,191.93,28.19,1727.37,0.0,0.0,1086.0,0
ORD-000014,CUST-00017,2025-06-18 09:35:00,site,pix,returned,1019.4,50.97,18.42,0.0,968.43,0.0,489.0,0
ORD-000015,CUST-00153,2025-12-29 09:19:00,app,boleto,cancelled,904.3,45.22,29.2,859.08,0.0,0.0,415.0,0
ORD-000016,CUST-00093,2025-06-08 10:13:00,marketplace,boleto,delivered,609.7,30.49,15.66,0.0,0.0,579.22,308.0,271.22
ORD-000017,CUST-00170,2025-06-22 20:39:00,app,credit_card,delivered,889.6,88.96,21.2,0.0,0.0,800.64,397.0,403.64
ORD-000018,CUST-00249,2025-08-16 17:18:00,marketplace,boleto,returned,1149.7,57.48,16.92,0.0,1092.21,0.0,697.0,0
ORD-000019,CUST-00200,2025-07-15 16:33:00,app,boleto,delivered,1169.5,0.0,34.41,0.0,0.0,1169.5,712.0,457.5
ORD-000020,CUST-00073,2025-02-12 20:10:00,app,credit_card,delivered,579.7,28.98,37.06,0.0,0.0,550.72,298.0,252.72
ORD-000021,CUST-00129,2025-07-11 11:24:00,app,pix,delivered,519.7,0.0,16.64,0.0,0.0,519.7,245.0,274.7
ORD-000022,CUST-00115,2025-11-12 08:57:00,site,pix,delivered,574.5,0.0,17.58,0.0,0.0,574.5,237.0,337.5
ORD-000023,CUST-00013,2025-05-03 14:40:00,app,pix,cancelled,1064.2,53.21,11.78,1010.99,0.0,0.0,451.5,0
ORD-000024,CUST-00062,2025-10-20 14:11:00,site,pix,returned,1124.1,168.62,12.47,0.0,955.49,0.0,513.0,0
ORD-000025,CUST-00096,2025-05-10 19:01:00,app,credit_card,delivered,659.7,0.0,20.24,0.0,0.0,659.7,279.0,380.7
ORD-000026,CUST-00209,2025-11-26 10:53:00,site,credit_card,returned,1559.2,77.96,39.32,0.0,1481.24,0.0,763.0,0
ORD-000027,CUST-00239,2025-06-08 16:25:00,app,pix,cancelled,919.6,45.98,17.5,873.62,0.0,0.0,494.0,0
ORD-000028,CUST-00112,2025-07-24 19:28:00,site,pix,delivered,1579.2,0.0,39.11,0.0,0.0,1579.2,819.0,760.2
ORD-000029,CUST-00083,2025-02-22 09:20:00,app,pix,returned,2349.1,0.0,19.09,0.0,2349.1,0.0,1260.0,0
ORD-000030,CUST-00172,2025-11-23 14:23:00,marketplace,pix,cancelled,689.7,103.45,30.28,586.25,0.0,0.0,354.0,0
ORD-000031,CUST-00018,2025-05-01 20:41:00,marketplace,pix,delivered,219.9,0.0,21.39,0.0,0.0,219.9,93.0,126.9
ORD-000032,CUST-00196,2025-02-09 17:08:00,marketplace,pix,cancelled,569.4,0.0,21.84,569.4,0.0,0.0,250.0,0
ORD-000033,CUST-00068,2025-05-14 19:28:00,site,boleto,delivered,1399.2,139.92,18.47,0.0,0.0,1259.28,676.0,583.28
ORD-000034,CUST-00141,2025-10-05 12:57:00,site,credit_card,delivered,234.8,0.0,31.25,0.0,0.0,234.8,108.0,126.8
