shipment_id,order_id,carrier,promised_date,delivered_date,is_late
SHP-000001,ORD-000001,Correios,2025-07-07,,False
SHP-000002,ORD-000002,Correios,2025-12-06,2025-12-06,False
SHP-000003,ORD-000003,Correios,2025-10-06,2025-10-05,False
SHP-000004,ORD-000004,Total Express,2025-08-23,2025-08-25,True
SHP-000005,ORD-000005,Loggi,2025-12-12,2025-12-12,False
SHP-000006,ORD-000006,Total Express,2025-03-09,2025-03-08,False
SHP-000007,ORD-000007,Correios,2025-02-12,2025-02-13,True
SHP-000008,ORD-000008,Jadlog,2025-08-15,,False
SHP-000009,ORD-000009,Total Express,2025-07-01,2025-07-01,False
SHP-000010,ORD-000010,Correios,2025-10-21,2025-10-21,False
SHP-000011,ORD-000011,Correios,2025-09-24,2025-09-26,True
SHP-000012,ORD-000012,Correios,2025-10-27,2025-10-27,False
SHP-000013,ORD-000013,Loggi,2026-01-06,,False
SHP-000014,ORD-000014,Jadlog,2025-06-23,2025-06-24,True
SHP-000015,ORD-000015,Correios,2026-01-03,,False
SHP-000016,ORD-000016,Correios,2025-06-16,2025-06-18,True
SHP-000017,ORD-000017,Jadlog,2025-06-28,2025-06-28,False
SHP-000018,ORD-000018,Loggi,2025-08-22,2025-08-23,True
SHP-000019,ORD-000019,Correios,2025-07-18,2025-07-20,True
SHP-000020,ORD-000020,Total Express,2025-02-18,2025-02-17,False
SHP-000021,ORD-000021,Total Express,2025-07-19,2025-07-19,False
SHP-000022,ORD-000022,Correios,2025-11-16,2025-11-16,False
SHP-000023,ORD-000023,Loggi,2025-05-06,,False
SHP-000024,ORD-000024,Total Express,2025-10-26,2025-10-25,False
SHP-000025,ORD-000025,Loggi,2025-05-13,2025-05-13,False
SHP-000026,ORD-000026,Loggi,2025-11-30,2025-11-29,False
SHP-000027,ORD-000027,Loggi,2025-06-11,,False
SHP-000028,ORD-000028,Loggi,2025-07-31,2025-07-31,False
SHP-000029,ORD-000029,Correios,2025-03-02,2025-03-01,False
SHP-000030,ORD-000030,Jadlog,2025-11-26,,False
SHP-000031,ORD-000031,Total Express,2025-05-06,2025-05-06,False
SHP-000032,ORD-000032,Correios,2025-02-16,,False
SHP-000033,ORD-000033,Correios,2025-05-19,2025-05-19,False
SHP-000034,ORD-000034,Correios,2025-10-09,2025-10-10,True
SHP-000035,ORD-000035,Total Express,2025-10-19,2025-10-20,True
SHP-000036,ORD-000036,Correios,2025-08-04,2025-08-06,True
SHP-000037,ORD-000037,Loggi,2025-03-13,2025-03-15,True
SHP-000038,ORD-000038,Loggi,2025-11-25,,False
SHP-000039,ORD-000039,Loggi,2025-10-24,2025-10-26,True
SHP-000040,ORD-000040,Total Express,2025-06-10,2025-06-11,True
SHP-000041,ORD-000041,Loggi,2025-06-30,2025-06-29,False
SHP-000042,ORD-000042,Correios,2025-05-12,2025-05-13,True
SHP-000043,ORD-000043,Loggi,2025-07-29,2025-07-30,True
SHP-000044,ORD-000044,Total Express,2025-01-08,2025-01-09,True
SHP-000045,ORD-000045,Jadlog,2025-10-13,,False
SHP-000046,ORD-000046,Jadlog,2025-09-25,2025-09-25,False
SHP-000047,ORD-000047,Correios,2025-11-19,2025-11-19,False
SHP-000048,ORD-000048,Total Express,2025-09-08,,False
SHP-000049,ORD-000049,Jadlog,2025-12-21,,False
SHP-000050,ORD-000050,Loggi,2025-09-21,2025-09-22,True
SHP-000051,ORD-000051,Loggi,2025-04-04,,False
SHP-000052,ORD-000052,Correios,2025-04-21,2025-04-21,False
SHP-000053,ORD-000053,Jadlog,2025-02-18,2025-02-20,True
SHP-000054,ORD-000054,Correios,2025-02-01,,False
SHP-000055,ORD-000055,Correios,2025-03-19,2025-03-19,False
SHP-000056,ORD-000056,Total Express,2025-04-05,2025-04-06,True
SHP-000057,ORD-000057,Jadlog,2025-03-15,2025-03-17,True
SHP-000058,ORD-000058,Loggi,2025-11-13,2025-11-14,True
SHP-000059,ORD-000059,Correios,2025-05-13,2025-05-13,False
SHP-000060,ORD-000060,Total Express,2025-03-08,2025-03-08,False
SHP-000061,ORD-000061,Correios,2025-11-14,2025-11-14,False
SHP-000062,ORD-000062,Total Express,2025-10-20,,False
SHP-000063,ORD-000063,Jadlog,2025-09-24,2025-09-23,False
SHP-000064,ORD-000064,Jadlog,2025-02-13,2025-02-13,False
SHP-000065,ORD-000065,Total Express,2025-11-28,2025-11-28,False
SHP-000066,ORD-000066,Correios,2025-03-12,2025-03-12,False
SHP-000067,ORD-000067,Jadlog,2025-12-13,2025-12-12,False
SHP-000068,ORD-000068,Loggi,2025-01-31,2025-02-02,True
SHP-000069,ORD-000069,Jadlog,2025-11-06,2025-11-08,True
SHP-000070,ORD-000070,Loggi,2025-12-18,2025-12-18,False
SHP-000071,ORD-000071,Correios,2026-01-04,2026-01-04,False
SHP-000072,ORD-000072,Jadlog,2025-04-16,2025-04-18,True
SHP-000073,ORD-000073,Total Express,2025-04-24,2025-04-24,False
SHP-000074,ORD-000074,Jadlog,2025-05-09,2025-05-09,False
SHP-000075,ORD-000075,Total Express,2025-06-18,,False
SHP-000076,ORD-000076,Total Express,2025-03-26,2025-03-27,True
SHP-000077,ORD-000077,Total Express,2025-07-03,2025-07-02,False
SHP-000078,ORD-000078,Correios,2025-11-25,2025-11-24,False
SHP-000079,ORD-000079,Total Express,2025-05-26,2025-05-26,False
SHP-000080,ORD-000080,Total Express,2025-07-14,,False
SHP-000081,ORD-000081,Correios,2025-07-16,2025-07-18,True
SHP-000082,ORD-000082,Correios,2025-04-27,,False
SHP-000083,ORD-000083,Jadlog,2025-06-19,,False
SHP-000084,ORD-000084,Total Express,2025-12-24,,False
SHP-000085,ORD-000085,Loggi,2025-06-20,2025-06-22,True
SHP-000086,ORD-000086,Total Express,2025-05-10,2025-05-10,False
SHP-000087,ORD-000087,Total Express,2025-05-22,2025-05-22,False
SHP-000088,ORD-000088,Total Express,2025-02-18,,False
SHP-000089,ORD-000089,Jadlog,2025-02-10,2025-02-11,True
SHP-000090,ORD-000090,Total Express,2025-03-04,2025-03-04,False
SHP-000091,ORD-000091,Jadlog,2025-04-08,2025-04-10,True
SHP-000092,ORD-000092,Jadlog,2025-10-13,2025-10-13,False
SHP-000093,ORD-000093,Correios,2025-08-12,2025-08-14,True
SHP-000094,ORD-000094,Total Express,2025-05-14,2025-05-14,False
SHP-000095,ORD-000095,Jadlog,2025-01-14,2025-01-16,True
SHP-000096,ORD-000096,Total Express,2025-01-18,2025-01-18,False
SHP-000097,ORD-000097,Jadlog,2025-04-24,2025-04-24,False
SHP-000098,ORD-000098,Total Express,2025-04-07,2025-04-07,False
SHP-000099,ORD-000099,Jadlog,2025-08-13,2025-08-13,False
SHP-000100,ORD-000100,Jadlog,2025-03-06,2025-03-08,True
SHP-000101,ORD-000101,Total Express,2025-12-16,2025-12-16,False
SHP-000102,ORD-000102,Correios,2025-11-07,2025-11-08,True
SHP-000103,ORD-000103,Loggi,2025-07-06,2025-07-06,False
SHP-000104,ORD-000104,Jadlog,2025-05-27,2025-05-29,True
SHP-000105,ORD-000105,Jadlog,2025-02-28,2025-02-27,False
SHP-000106,ORD-000106,Loggi,2025-11-03,2025-11-05,True
SHP-000107,ORD-000107,Jadlog,2025-10-07,2025-10-07,False
SHP-000108,ORD-000108,Correios,2026-01-06,2026-01-05,False
SHP-000109,ORD-000109,Total Express,2025-09-24,2025-09-26,True
SHP-000110,ORD-000110,Total Express,2025-08-11,2025-08-10,False
SHP-000111,ORD-000111,Correios,2025-03-10,2025-03-10,False
SHP-000112,ORD-000112,Jadlog,2025-11-23,2025-11-22,False
SHP-000113,ORD-000113,Correios,2025-05-04,2025-05-03,False
SHP-000114,ORD-000114,Loggi,2025-07-12,2025-07-13,True
SHP-000115,ORD-000115,Jadlog,2025-04-25,2025-04-25,False
SHP-000116,ORD-000116,Total Express,2025-12-05,,False
SHP-000117,ORD-000117,Jadlog,2025-12-02,2025-12-02,False
SHP-000118,ORD-000118,Loggi,2025-10-26,,False
SHP-000119,ORD-000119,Correios,2026-01-04,2026-01-04,False
SHP-000120,ORD-000120,Correios,2025-02-13,2025-02-14,True
SHP-000121,ORD-000121,Loggi,2025-11-14,2025-11-15,True
SHP-000122,ORD-000122,Correios,2025-09-28,2025-09-28,False
SHP-000123,ORD-000123,Jadlog,2026-01-07,2026-01-06,False
SHP-000124,ORD-000124,Loggi,2025-09-24,2025-09-24,False
SHP-000125,ORD-000125,Correios,2025-08-06,2025-08-08,True
SHP-000126,ORD-000126,Jadlog,2025-08-01,2025-08-01,False
SHP-000127,ORD-000127,Loggi,2025-07-13,2025-07-12,False
