date_id,full_date,year,quarter,month,month_name,week,day,day_of_week,day_name,is_weekend
20181017,2018-10-17,2018,4,10,October,42,17,3,Wednesday,false
20181016,2018-10-16,2018,4,10,October,42,16,2,Tuesday,false
20181015,2018-10-15,2018,4,10,October,42,15,1,Monday,false
20181014,2018-10-14,2018,4,10,October,41,14,0,Sunday,true
20181013,2018-10-13,2018,4,10,October,41,13,6,Saturday,true
20181012,2018-10-12,2018,4,10,October,41,12,5,Friday,false
20181011,2018-10-11,2018,4,10,October,41,11,4,Thursday,false
20181010,2018-10-10,2018,4,10,October,41,10,3,Wednesday,false
20181009,2018-10-09,2018,4,10,October,41,9,2,Tuesday,false
20181008,2018-10-08,2018,4,10,October,41,8,1,Monday,false
20181007,2018-10-07,2018,4,10,October,40,7,0,Sunday,true
20181006,2018-10-06,2018,4,10,October,40,6,6,Saturday,true
20181005,2018-10-05,2018,4,10,October,40,5,5,Friday,false
20181004,2018-10-04,2018,4,10,October,40,4,4,Thursday,false
20181003,2018-10-03,2018,4,10,October,40,3,3,Wednesday,false
20181002,2018-10-02,2018,4,10,October,40,2,2,Tuesday,false
20181001,2018-10-01,2018,4,10,October,40,1,1,Monday,false
20180930,2018-09-30,2018,3,9,September,39,30,0,Sunday,true
20180929,2018-09-29,2018,3,9,September,39,29,6,Saturday,true
20180928,2018-09-28,2018,3,9,September,39,28,5,Friday,false
20180927,2018-09-27,2018,3,9,September,39,27,4,Thursday,false
20180926,2018-09-26,2018,3,9,September,39,26,3,Wednesday,false
20180925,2018-09-25,2018,3,9,September,39,25,2,Tuesday,false
20180924,2018-09-24,2018,3,9,September,39,24,1,Monday,false
20180923,2018-09-23,2018,3,9,September,38,23,0,Sunday,true
20180922,2018-09-22,2018,3,9,September,38,22,6,Saturday,true
20180921,2018-09-21,2018,3,9,September,38,21,5,Friday,false
20180920,2018-09-20,2018,3,9,September,38,20,4,Thursday,false
20180919,2018-09-19,2018,3,9,September,38,19,3,Wednesday,false
20180918,2018-09-18,2018,3,9,September,38,18,2,Tuesday,false
20180917,2018-09-17,2018,3,9,September,38,17,1,Monday,false
20180916,2018-09-16,2018,3,9,September,37,16,0,Sunday,true
20180915,2018-09-15,2018,3,9,September,37,15,6,Saturday,true
20180914,2018-09-14,2018,3,9,September,37,14,5,Friday,false
20180913,2018-09-13,2018,3,9,September,37,13,4,Thursday,false
20180912,2018-09-12,2018,3,9,September,37,12,3,Wednesday,false
20180911,2018-09-11,2018,3,9,September,37,11,2,Tuesday,false
20180910,2018-09-10,2018,3,9,September,37,10,1,Monday,false
20180909,2018-09-09,2018,3,9,September,36,9,0,Sunday,true
20180908,2018-09-08,2018,3,9,September,36,8,6,Saturday,true
20180907,2018-09-07,2018,3,9,September,36,7,5,Friday,false
20180906,2018-09-06,2018,3,9,September,36,6,4,Thursday,false
20180905,2018-09-05,2018,3,9,September,36,5,3,Wednesday,false
20180904,2018-09-04,2018,3,9,September,36,4,2,Tuesday,false
20180903,2018-09-03,2018,3,9,September,36,3,1,Monday,false
20180902,2018-09-02,2018,3,9,September,35,2,0,Sunday,true
20180901,2018-09-01,2018,3,9,September,35,1,6,Saturday,true
20180831,2018-08-31,2018,3,8,August,35,31,5,Friday,false
