order_date,customer_state,product_category_name_english,total_orders,total_items,gross_revenue,freight_value,average_order_value,delivered_orders,cancelled_orders,late_deliveries
2017-12-10,SP,telephony,5,8,199.47,74.46,39.894,4,0,0
2017-12-05,SP,furniture_decor,9,14,755.51,203.59,83.94555555555556,9,0,0
2018-07-04,SP,construction_tools_construction,4,4,728.59,48.06,182.1475,4,0,0
2017-04-09,RS,computers_accessories,1,1,46.86,14.52,46.86,1,0,0
2017-05-11,SP,garden_tools,1,1,99.00,43.06,99.0,1,0,0
2017-07-05,RJ,bed_bath_table,4,4,389.79,75.05,97.4475,4,0,0
2018-04-26,SP,auto,5,6,843.70,87.66,168.74,5,0,0
2017-09-01,RS,fixed_telephony,1,1,32.99,14.10,32.99,1,0,0
2018-01-22,RJ,bed_bath_table,4,5,846.50,111.26,211.625,4,0,1
2017-05-21,GO,auto,1,4,59.96,60.40,59.96,1,0,0
2018-05-12,SP,computers_accessories,6,6,356.58,59.50,59.43,5,0,0
2018-04-25,RJ,watches_gifts,6,6,1834.90,68.41,305.81666666666666,6,0,0
2017-12-01,PR,electronics,3,3,52.79,46.99,17.596666666666668,3,0,0
2018-04-04,SP,luggage_accessories,1,1,49.99,8.88,49.99,1,0,0
2018-02-14,SP,sports_leisure,7,7,1436.18,109.22,205.16857142857143,7,0,0
2017-11-08,RJ,bed_bath_table,3,4,334.69,84.71,111.56333333333333,3,0,0
2018-01-25,SC,cool_stuff,1,1,188.00,16.07,188.0,1,0,0
2018-07-29,ES,watches_gifts,2,2,578.67,35.34,289.335,2,0,0
2017-07-04,SP,fixed_telephony,1,1,34.99,7.78,34.99,1,0,0
2017-08-15,SP,computers_accessories,6,7,814.04,109.93,135.67333333333332,6,0,0
2018-03-05,RJ,air_conditioning,1,1,159.90,25.96,159.9,0,0,0
2017-05-29,SP,housewares,8,10,658.36,142.75,82.295,8,0,0
2017-10-29,RJ,office_furniture,1,1,114.94,34.16,114.94,1,0,0
2018-08-13,MG,auto,4,4,291.89,83.98,72.9725,4,0,0
2018-08-18,MG,health_beauty,2,2,152.02,38.11,76.01,2,0,0
2018-06-25,SP,bed_bath_table,9,10,889.48,175.36,98.83111111111111,9,0,0
2018-03-20,SP,housewares,10,12,874.23,280.39,87.423,9,0,2
2017-12-08,RJ,garden_tools,5,6,440.58,167.48,88.116,5,0,4
2018-04-25,BA,computers_accessories,1,1,149.90,23.98,149.9,1,0,0
2018-03-09,CE,office_furniture,1,2,293.88,105.70,293.88,1,0,0
2017-10-20,ES,health_beauty,1,1,89.99,17.07,89.99,1,0,0
2017-12-12,MG,stationery,2,2,204.00,34.43,102.0,2,0,0
2017-02-26,TO,furniture_decor,1,1,169.00,29.46,169.0,1,0,0
2017-10-10,SC,computers_accessories,2,2,248.91,34.07,124.455,2,0,0
2018-08-09,BA,bed_bath_table,1,1,134.90,27.89,134.9,1,0,0
2017-03-11,SP,bed_bath_table,6,7,559.44,87.15,93.24000000000001,5,0,0
2018-03-25,PA,fashion_bags_accessories,1,1,49.00,37.04,49.0,1,0,1
2017-02-02,RS,garden_tools,2,2,208.95,36.99,104.475,2,0,0
2017-06-03,MG,health_beauty,3,3,387.88,47.26,129.29333333333332,3,0,0
2018-04-12,SP,signaling_and_security,2,4,133.80,53.92,66.9,2,0,0
2018-07-26,SP,furniture_decor,5,5,565.50,120.54,113.1,5,0,0
2018-01-16,SP,,3,7,1264.99,75.26,421.66333333333336,3,0,1
2018-06-29,PA,watches_gifts,2,2,364.90,50.72,182.45,2,0,0
2018-01-31,SP,computers_accessories,14,15,1474.87,180.13,105.34785714285714,14,0,0
2018-01-02,SP,telephony,4,4,125.57,31.12,31.3925,4,0,0
2017-12-22,SP,sports_leisure,3,3,346.80,40.23,115.60000000000001,3,0,0
2017-11-12,RJ,stationery,2,2,299.00,30.60,149.5,2,0,0
2017-04-11,MA,telephony,1,1,18.95,24.35,18.95,1,0,0
2018-05-21,SP,construction_tools_construction,2,2,189.90,15.96,94.95,2,0,0
2018-07-19,SP,furniture_decor,6,10,860.20,189.40,143.36666666666667,6,0,0
2017-12-28,SP,sports_leisure,2,2,283.90,31.79,141.95,2,0,0
2017-10-13,RS,auto,1,1,40.00,15.10,40.0,1,0,0
2018-08-11,PR,sports_leisure,2,2,310.90,37.61,155.45,2,0,0
2018-03-08,SP,construction_tools_lights,1,1,297.00,66.31,297.0,1,0,0
2017-05-01,PR,cool_stuff,2,2,289.98,37.05,144.99,2,0,0
2017-08-01,RS,perfumery,1,1,56.99,14.15,56.99,1,0,0
2017-07-04,SP,housewares,4,5,588.90,122.20,147.225,3,0,0
2018-04-18,PR,art,1,1,79.99,23.14,79.99,1,0,0
2017-11-05,SP,luggage_accessories,1,1,84.90,14.32,84.9,1,0,0
2018-07-24,RS,signaling_and_security,1,1,49.90,13.69,49.9,1,0,0
2018-07-24,SP,garden_tools,4,4,153.99,74.85,38.4975,4,0,0
2017-10-10,GO,toys,1,1,69.00,12.61,69.0,1,0,0
2018-02-02,DF,computers_accessories,2,2,174.04,41.24,87.02,2,0,1
2017-12-08,SP,cool_stuff,10,12,1418.67,199.86,141.86700000000002,10,0,1
2018-04-30,SP,health_beauty,13,14,1745.76,282.22,134.28923076923076,13,0,0
2018-03-02,MG,pet_shop,1,1,120.00,12.97,120.0,1,0,1
2017-06-22,SP,bed_bath_table,6,6,404.24,84.43,67.37333333333333,5,0,0
2017-06-06,MG,bed_bath_table,3,5,161.89,73.77,53.96333333333333,3,0,0
2017-12-07,SP,sports_leisure,11,11,1080.17,192.00,98.19727272727273,11,0,2
2017-11-20,RS,computers_accessories,2,2,221.80,34.72,110.9,2,0,0
2017-09-21,SP,sports_leisure,8,10,768.42,132.49,96.0525,8,0,0
2017-06-18,ES,stationery,1,1,79.00,17.80,79.0,1,0,0
2017-06-30,MS,bed_bath_table,1,2,45.80,30.20,45.8,1,0,0
2018-04-23,DF,health_beauty,1,1,269.45,19.77,269.45,1,0,0
2018-03-12,MG,housewares,4,5,204.87,101.55,51.2175,4,0,3
2017-09-30,BA,small_appliances,1,1,17.80,16.92,17.8,1,0,0
2017-07-08,ES,telephony,1,2,35.49,30.19,35.49,1,0,0
2018-05-12,MG,musical_instruments,1,1,1990.00,125.05,1990.0,1,0,0
2018-01-19,MG,computers_accessories,5,5,909.44,128.21,181.888,5,0,0
2018-04-01,SP,garden_tools,4,4,186.50,48.15,46.625,4,0,0
2016-10-07,SP,health_beauty,4,4,345.67,63.87,86.4175,3,0,0
2017-05-08,MG,health_beauty,3,3,521.99,49.12,173.99666666666667,3,0,0
2018-07-29,SP,watches_gifts,8,9,978.49,91.87,122.31125,8,0,0
2017-12-09,DF,furniture_decor,1,1,39.90,18.89,39.9,1,0,0
2018-01-24,MA,sports_leisure,2,2,169.80,71.89,84.9,2,0,2
2017-10-16,SP,computers_accessories,5,6,822.68,76.79,164.536,5,0,0
2018-03-27,SP,auto,6,6,492.80,94.11,82.13333333333334,6,0,1
2018-08-15,SC,auto,1,1,107.90,23.56,107.9,1,0,0
2018-06-23,MT,cool_stuff,1,1,299.00,44.37,299.0,1,0,0
2018-01-09,SP,health_beauty,15,16,1715.37,204.67,114.35799999999999,14,0,1
2018-08-01,MG,bed_bath_table,4,5,583.70,155.43,145.925,4,0,0
2017-08-24,RJ,health_beauty,1,1,89.99,14.38,89.99,1,0,0
2017-06-26,SC,watches_gifts,1,1,124.90,15.62,124.9,1,0,0
2018-05-11,BA,perfumery,1,1,82.00,19.12,82.0,1,0,0
2017-02-24,BA,auto,2,2,160.89,39.04,80.445,2,0,1
2018-03-23,SC,toys,1,1,89.00,19.59,89.0,1,0,0
2018-03-12,SP,construction_tools_safety,1,1,435.19,20.93,435.19,1,0,0
2018-02-15,PR,garden_tools,3,3,200.00,81.68,66.66666666666667,3,0,0
2018-05-30,GO,home_construction,1,1,151.80,18.94,151.8,1,0,0
2017-03-03,SP,furniture_decor,7,7,341.60,96.11,48.800000000000004,7,0,0
2018-04-23,SP,bed_bath_table,16,18,1943.12,274.88,121.445,16,0,1
2017-05-08,SP,watches_gifts,3,3,666.90,39.42,222.29999999999998,3,0,0
2018-02-04,RJ,baby,1,1,21.99,15.10,21.99,1,0,0
2018-07-15,PR,food,1,1,27.90,18.30,27.9,1,0,0
2018-01-26,SP,pet_shop,1,1,179.00,13.59,179.0,1,0,0
2017-06-05,SP,watches_gifts,3,3,590.04,35.41,196.67999999999998,3,0,0
2018-08-22,PR,bed_bath_table,1,2,178.00,46.84,178.0,1,0,0
2018-06-19,SP,sports_leisure,9,10,1229.98,154.44,136.66444444444446,9,0,0
2018-01-08,RJ,sports_leisure,2,2,376.50,47.16,188.25,2,0,0
2018-06-14,SC,perfumery,1,2,239.00,35.54,239.0,1,0,0
2018-04-18,SP,cool_stuff,2,2,958.99,29.97,479.495,2,0,1
2018-06-08,SP,housewares,6,11,604.81,196.57,100.80166666666666,6,0,1
2018-01-11,PI,baby,1,1,73.50,25.06,73.5,1,0,0
2018-01-24,SC,bed_bath_table,1,1,74.90,16.28,74.9,1,0,1
2017-08-23,PR,toys,2,2,200.80,30.79,100.4,2,0,0
2017-01-24,MG,garden_tools,2,2,73.00,29.67,36.5,2,0,0
2018-07-27,SP,computers_accessories,7,7,1812.58,120.02,258.94,7,0,1
