seller_id,seller_state,total_orders,total_items,gross_revenue,freight_value,average_item_price,unique_products,unique_customers,late_deliveries,late_delivery_rate,average_review_score
df560393f3a51e74553ab94004ba5c87,PR,28,29,3661.18,606.15,126.24758620689656,10,28,2,0.07142857142857142,3.6785714285714284
7040e82f899a04d1b434b795a43b4617,SP,212,228,9738.20,3217.78,42.71140350877193,60,212,20,0.09433962264150944,3.6
4a3ca9315b744ce9f8e9374361493884,SP,1806,1987,200472.92,35067.04,100.89225968797182,399,1806,195,0.1079734219269103,3.827873403664631
3504c0cb71d7fa48d967e0e4c94d59d9,SP,53,53,2349.94,687.37,44.338490566037734,14,53,0,0.0,4.415094339622642
e59aa562b9f8076dd550fcddf0e73491,PR,70,84,31574.30,2229.67,375.8845238095238,9,70,7,0.1,4.214285714285714
a3e9a2c700480d9bb01fba070ba80a0e,SP,130,144,13440.80,2883.09,93.33888888888889,72,130,13,0.1,3.984732824427481
d3dcf0604eabf0224fbd5948b5e02f69,SP,9,9,2902.30,165.11,322.47777777777776,8,9,3,0.3333333333333333,3.888888888888889
0241d4d5d36f10f80c644447315af0bd,PR,238,246,31397.70,6853.91,127.6329268292683,56,238,14,0.058823529411764705,4.334728033472803
cfb1a033743668a192316f3c6d1d2671,SP,147,184,12803.64,3432.56,69.585,61,147,17,0.11564625850340136,3.96
c70c1b0d8ca86052f45a432a38b73958,SP,261,338,36537.37,3938.91,108.09872781065089,66,261,22,0.0842911877394636,4.359073359073359
a1043bafd471dff536d0c462352beb48,MG,718,770,101901.16,31844.09,132.33916883116882,6,718,40,0.055710306406685235,4.222377622377622
cab85505710c7cb9b720bceb52b01cee,SP,206,209,11389.10,2906.14,54.4933014354067,28,206,5,0.024271844660194174,4.280193236714976
6a8b085f816a1f75f92dbac6eb545f8f,SP,127,135,6018.97,2177.99,44.58496296296296,71,127,12,0.09448818897637795,4.109375
0691148aee60ca47977c187804f935ae,PR,47,53,5868.51,1490.94,110.72660377358491,37,47,1,0.02127659574468085,4.1875
4d6d651bd7684af3fffabd5f08d12e5a,SP,369,395,43587.40,7898.91,110.34784810126582,70,369,17,0.04607046070460705,4.197297297297298
128639473a139ac0f3e5f5ade55873a5,PR,533,560,11908.85,9785.60,21.26580357142857,66,533,33,0.06191369606003752,4.185958254269449
7d7866a99a8656a42c7ff6352a433410,SP,5,5,147.89,59.49,29.578,4,5,0,0.0,4.4
3b15288545f8928d3e65a8f949a28291,SP,104,121,14061.79,2451.90,116.21314049586776,46,104,7,0.0673076923076923,3.9622641509433962
aac29b1b99776be73c3049939652091d,MG,98,138,6755.91,2709.61,48.95586956521739,14,98,9,0.09183673469387756,4.1020408163265305
966cb4760537b1404caedd472cc610a5,SP,75,75,51286.05,1649.82,683.814,17,75,2,0.02666666666666667,3.8533333333333335
a72c2f59332659e361d647515c698798,RS,5,6,802.90,131.03,133.81666666666666,3,5,0,0.0,4.8
1ca7077d890b907f89be8c954a02686a,SP,115,137,13341.57,1659.86,97.38372262773723,21,115,24,0.20869565217391303,2.3333333333333335
5b2e94f2c22b39ccc24d34ad0f669672,SP,10,10,949.78,390.36,94.978,5,10,1,0.1,4.9
213b25e6f54661939f11710a6fddb871,SP,155,194,15379.50,3460.46,79.27577319587628,81,155,13,0.08387096774193549,3.793548387096774
8f2ce03f928b567e3d56181ae20ae952,SP,153,175,21712.90,3837.11,124.07371428571429,79,153,23,0.1503267973856209,4.105263157894737
9616352088dcf83a7c06637f4ebf1c80,PR,92,98,5703.00,1787.57,58.19387755102041,5,92,0,0.0,4.301075268817204
04aba03279157f6d4e0fe8ccaf21963c,RJ,16,16,2575.90,346.43,160.99375,12,16,1,0.0625,4.3125
f22a247b79dd22ecd91dc8e3b2a1b07c,SP,8,8,439.94,134.90,54.9925,5,8,2,0.25,4.0
52562a9f449c3dc3d53f5f5b9ed74903,RN,14,14,3266.60,444.04,233.32857142857142,4,14,0,0.0,4.785714285714286
95e03ca3d4146e4011985981aeb959b9,RJ,175,193,11009.96,3233.54,57.04642487046632,55,175,6,0.03428571428571429,4.011428571428572
63b464dbf392c7b80d12d932fa7cafed,SP,37,39,6781.00,881.25,173.87179487179486,17,37,2,0.05405405405405406,3.7837837837837838
08ad4ac1388e4420ca531c3edfc46198,SP,6,7,221.62,89.05,31.66,5,6,0,0.0,2.8333333333333335
430315b7bb4b6e4b3c978f9dfa9b0558,SP,20,21,3118.40,586.23,148.4952380952381,14,20,1,0.05,3.9473684210526314
835f0f7810c76831d6c7d24c7a646d4d,SP,44,50,5130.00,964.03,102.6,19,44,13,0.29545454545454547,3.340909090909091
b16d3dadc47d4eb18be3d88bad0775ce,RS,10,11,722.10,178.44,65.64545454545454,10,10,1,0.1,4.3
6cf476a4ca74498db55cbccdaa9dcfb6,SP,6,7,939.93,185.57,134.2757142857143,5,6,2,0.3333333333333333,3.0
ba90964cff9b9e0e6f32b23b82465f7b,SP,38,38,44212.50,1311.00,1163.4868421052631,11,38,2,0.05263157894736842,4.421052631578948
b56906f7fd1696e043f1bcce164c487b,SP,40,42,2148.49,846.93,51.15452380952381,20,40,2,0.05,4.0
fad44952713764836814be105382aee5,RJ,32,32,5129.00,507.88,160.28125,1,32,1,0.03125,4.28125
b494891378bd8f4560abe576c52deacd,SP,20,22,2958.90,311.92,134.49545454545455,21,20,1,0.05,4.65
34056b8b55c1775a22af2331670a799c,SP,78,78,6455.40,1774.49,82.76153846153846,58,78,9,0.11538461538461539,4.0
3d8fa2f5b647373c8620330c4e077a9f,SP,43,48,3571.73,818.82,74.41104166666666,11,43,1,0.023255813953488372,4.093023255813954
004c9cd9d87a3c30c522c48c4fc07416,SP,158,170,19712.71,3551.23,115.95711764705882,88,158,13,0.08227848101265822,4.136645962732919
ff1e15b778c700abdd4d239b81ac466d,PR,7,7,414.30,114.86,59.18571428571428,2,7,0,0.0,4.571428571428571
17a053fcb14bd219540cbde0df490be0,SP,125,149,40703.14,8828.43,273.1754362416107,87,125,10,0.08,4.233870967741935
b8114f2f589a6804810f04f99b36b498,SP,8,11,1399.62,292.41,127.23818181818181,4,8,0,0.0,4.75
ff1fb4c404b2efe68b03350a8dc24122,SP,46,49,6771.00,895.95,138.18367346938774,21,46,7,0.15217391304347827,4.0
ec2e006556300a79a5a91e4876ab3a56,SP,4,8,125.20,66.04,15.65,2,4,1,0.25,1.25
972d0f9cf61b499a4812cf0bfa3ad3c4,SC,83,88,8089.29,2151.30,91.92375,15,83,9,0.10843373493975904,3.0253164556962027
343e716476e3748b069f980efbaa294e,SP,17,24,922.60,312.10,38.44166666666667,6,17,1,0.058823529411764705,4.3125
adcf50477d6a1f5d91bb9d54c4903cb5,MG,19,38,1425.14,798.66,37.503684210526316,15,19,3,0.15789473684210525,3.263157894736842
f76a3b1349b6df1ee875d1f3fa4340f0,SP,24,24,4160.79,588.19,173.36625,6,24,9,0.375,3.4583333333333335
44073f8b7e41514de3b7815dd0237f4f,DF,144,153,18729.64,3172.29,122.4159477124183,77,144,5,0.034722222222222224,3.7552447552447554
4c498c7345e89aebad651544829beca0,SP,48,48,4819.76,570.00,100.41166666666666,20,48,6,0.125,4.291666666666667
13074f016982ff2bd6c58ced8682f000,RS,14,15,2116.00,995.70,141.06666666666666,5,14,4,0.2857142857142857,3.9285714285714284
822166ed1e47908f7cfb49946d03c726,RJ,69,108,3714.83,1821.12,34.396574074074074,34,69,1,0.014492753623188406,4.0
